question_id,kc_id,name,description
74,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
75,36,GROUP BY,GROUP BY attribute list groups tuples for each value combination in the attribute list.
20,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
75,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
3,4,Set,"In mathematics, a set is nothing more than a collection of objects. Similarly, in databases, records within a table can be treated as objects in a set - i.e. the table becomes a set of records. The SET operator allows the tables of a database to be treated as objects in a set when performing a query."
4,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
5,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
6,7,Cardinality,the cardinality of a set is a measure of the number of elements of the set.
7,8,Equality,Set equality is the term that is used to indicate that two sets are equal.
8,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
9,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
10,10,Intersection,The intersection of two given sets is the set that contains all the elements that are common to both sets.
10,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
11,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
21,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
21,13,Tuple,A tuple is an ordered list of n elements.
12,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
12,10,Intersection,The intersection of two given sets is the set that contains all the elements that are common to both sets.
21,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
22,10,Intersection,The intersection of two given sets is the set that contains all the elements that are common to both sets.
22,7,Cardinality,the cardinality of a set is a measure of the number of elements of the set.
23,8,Equality,Set equality is the term that is used to indicate that two sets are equal.
23,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
24,10,Intersection,The intersection of two given sets is the set that contains all the elements that are common to both sets.
25,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
25,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
28,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
28,7,Cardinality,the cardinality of a set is a measure of the number of elements of the set.
29,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
29,10,Intersection,The intersection of two given sets is the set that contains all the elements that are common to both sets.
29,7,Cardinality,the cardinality of a set is a measure of the number of elements of the set.
30,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
30,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
75,39,HAVING,We can use HAVING condition to add the condition on the groups.
76,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
31,12,Subset,"If A and B are two sets, and every element of set A is also an element of set B, then A is called a subset of B"
31,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
76,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
77,40,EXCEPT,"The SQL EXCEPT clause/operator is used to combine two SELECT statements and returns rows from the first SELECT statement that are not returned by the second SELECT statement. This means EXCEPT returns only rows, which are not available in the second SELECT statement"
49,18,Superkey,A superkey SK of R is a subset of attributes of R.
49,27,Candidate key,A candidate key is a combination of attributes that can be uniquely used to identify a database record without referring to any other data.
48,18,Superkey,A superkey SK of R is a subset of attributes of R.
48,27,Candidate key,A candidate key is a combination of attributes that can be uniquely used to identify a database record without referring to any other data.
46,18,Superkey,A superkey SK of R is a subset of attributes of R.
46,27,Candidate key,A candidate key is a combination of attributes that can be uniquely used to identify a database record without referring to any other data.
77,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
78,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
79,41,Inner Join,Inner Join is tuples are included in the result only if there is at least one matching in both relations.
2,4,Set,"In mathematics, a set is nothing more than a collection of objects. Similarly, in databases, records within a table can be treated as objects in a set - i.e. the table becomes a set of records. The SET operator allows the tables of a database to be treated as objects in a set when performing a query."
79,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
81,43,Left Join,A left join retains all rows of the left table regardless of whether there is a row that matches on the right table.
81,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
80,42,Natural Join,"A natural join retains all the data of the two tables for only the matched rows, without duplication."
40,16,Attribute,"Attributes are used to describe the properties of information. In the relational model, they usually refer to atomic data."
40,17,Relation,A relation is a subset of a Cartesian product of sets.
80,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
82,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
55,24,CREATE TABLE,"The CREATE TABLE statement is used to create a new relation schema by specifying its name, its attributes and, optionally, its constraints."
55,23,Data type,Data Types define the type of value that can be stored in a table column.
63,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
65,24,CREATE TABLE,"The CREATE TABLE statement is used to create a new relation schema by specifying its name, its attributes and, optionally, its constraints."
65,20,Schema,A relation schema has a relation name and a list of attributes.
13,10,Intersection,The intersection of two given sets is the set that contains all the elements that are common to both sets.
83,44,EXISTS,"The EXISTS condition in SQL is used to check whether the result of a correlated nested query is empty (contains no tuples) or not. The result of EXISTS is a boolean value True or False. It can be used in a SELECT, UPDATE, INSERT or DELETE statement."
13,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
68,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
83,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
85,32,Query,A query is a request for data or information from a database table or combination of tables.
85,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
16,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
16,12,Subset,"If A and B are two sets, and every element of set A is also an element of set B, then A is called a subset of B"
87,36,GROUP BY,GROUP BY attribute list groups tuples for each value combination in the attribute list.
87,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
86,32,Query,A query is a request for data or information from a database table or combination of tables.
86,44,EXISTS,"The EXISTS condition in SQL is used to check whether the result of a correlated nested query is empty (contains no tuples) or not. The result of EXISTS is a boolean value True or False. It can be used in a SELECT, UPDATE, INSERT or DELETE statement."
86,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
84,44,EXISTS,"The EXISTS condition in SQL is used to check whether the result of a correlated nested query is empty (contains no tuples) or not. The result of EXISTS is a boolean value True or False. It can be used in a SELECT, UPDATE, INSERT or DELETE statement."
84,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
14,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
67,24,CREATE TABLE,"The CREATE TABLE statement is used to create a new relation schema by specifying its name, its attributes and, optionally, its constraints."
67,19,Foreign key,A foreign key is a column or group of columns in a relational database table that provides a link between data in two tables.
58,28,DML,"A data manipulation language (DML) is a computer programming language used for adding (inserting), deleting, and modifying (updating) data in a database. A DML is often a sublanguage of a broader database language such as SQL, with the DML comprising some of the operators in the language."
26,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
26,10,Intersection,The intersection of two given sets is the set that contains all the elements that are common to both sets.
26,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
27,10,Intersection,The intersection of two given sets is the set that contains all the elements that are common to both sets.
27,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
15,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
15,12,Subset,"If A and B are two sets, and every element of set A is also an element of set B, then A is called a subset of B"
32,12,Subset,"If A and B are two sets, and every element of set A is also an element of set B, then A is called a subset of B"
32,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
33,12,Subset,"If A and B are two sets, and every element of set A is also an element of set B, then A is called a subset of B"
33,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
34,12,Subset,"If A and B are two sets, and every element of set A is also an element of set B, then A is called a subset of B"
34,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
35,12,Subset,"If A and B are two sets, and every element of set A is also an element of set B, then A is called a subset of B"
35,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
92,48,Entity,"An entity is a real-world thing that can be distinctly identified as a person, place, or concept. It is an object which is distinguishable from others."
92,51,weak entity ,"A weak entity type is an entity type that does not have sufficient attributes
to form a primary key."
92,45,Entity-Relationship Model,"An Entity–relationship model (ER model) describes the structure of a database with the help of a diagram, which is known as Entity Relationship Diagram (ER Diagram). An ER model is a design or blueprint of a database that can later be implemented as a database. "
92,46,Data structure,"The data structure is a data organization, management, and storage format that enables efficient access and modification. More precisely, a data structure is a collection of data values, the relationships among them, and the functions or operations that can be applied to the data."
36,14,Relational data model,The relational model represents the database as a collection of relations.
45,19,Foreign key,A foreign key is a column or group of columns in a relational database table that provides a link between data in two tables.
45,20,Schema,A relation schema has a relation name and a list of attributes.
91,50,Data integrity,"Data integrity refers to the accuracy and consistency of data stored in a database or a data warehouse. Data with “integrity” is said to have a complete structure, i.e. all characteristics defining the data must be correct."
91,34,Primary Key,A primary key is a special relational database table column (or combination of columns) designated to uniquely identify all table records.
91,45,Entity-Relationship Model,"An Entity–relationship model (ER model) describes the structure of a database with the help of a diagram, which is known as Entity Relationship Diagram (ER Diagram). An ER model is a design or blueprint of a database that can later be implemented as a database. "
50,18,Superkey,A superkey SK of R is a subset of attributes of R.
50,27,Candidate key,A candidate key is a combination of attributes that can be uniquely used to identify a database record without referring to any other data.
51,22,DDL,"A data definition language (DDL) is a computer language used to create and modify the structure of database objects in a database. These database objects include views, schemas, tables, indexes, etc."
51,23,Data type,Data Types define the type of value that can be stored in a table column.
52,24,CREATE TABLE,"The CREATE TABLE statement is used to create a new relation schema by specifying its name, its attributes and, optionally, its constraints."
53,25,DROP TABLE,The DROP TABLE statement is used to remove an existing relation schema from a database schema.
54,25,DROP TABLE,The DROP TABLE statement is used to remove an existing relation schema from a database schema.
54,26,ALTER TABLE,"ALTER TABLE is used to add, delete/drop or modify columns in the existing table. It is also used to add and drop various constraints on the existing table."
37,15,Domain,Domains are the sets of all possible values for attributes.
163,68,Equivalent,"Two or more than two sets of functional dependencies are called equivalence if the right-hand side of one set of functional dependency can be determined using the second FD set, similarly, the right-hand side of the second FD set can be determined using the first FD set."
163,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
164,68,Equivalent,"Two or more than two sets of functional dependencies are called equivalence if the right-hand side of one set of functional dependency can be determined using the second FD set, similarly, the right-hand side of the second FD set can be determined using the first FD set."
109,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
109,65,Trivial,A FD is trivial if it can always be satisfied
164,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
166,68,Equivalent,"Two or more than two sets of functional dependencies are called equivalence if the right-hand side of one set of functional dependency can be determined using the second FD set, similarly, the right-hand side of the second FD set can be determined using the first FD set."
166,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
167,68,Equivalent,"Two or more than two sets of functional dependencies are called equivalence if the right-hand side of one set of functional dependency can be determined using the second FD set, similarly, the right-hand side of the second FD set can be determined using the first FD set."
167,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
111,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
111,17,Relation,A relation is a subset of a Cartesian product of sets.
111,18,Superkey,A superkey SK of R is a subset of attributes of R.
110,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
110,66,Closure,"The set of all those attributes which can be functionally determined from an attribute set is called as the closure of that attribute set.
"
112,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
112,67,Implied,"To design a good database, we need to consider all possible FDs."
113,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
113,66,Closure,"The set of all those attributes which can be functionally determined from an attribute set is called as the closure of that attribute set.
"
114,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
114,17,Relation,A relation is a subset of a Cartesian product of sets.
114,18,Superkey,A superkey SK of R is a subset of attributes of R.
115,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
115,67,Implied,"To design a good database, we need to consider all possible FDs."
117,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
117,67,Implied,"To design a good database, we need to consider all possible FDs."
118,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
118,67,Implied,"To design a good database, we need to consider all possible FDs."
170,33,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
170,77,Projection,"choose certain attributes (i.e., columns)."
121,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
121,69,Minimal Cover,A minimal cover of a set of FDs F is a minimal set of functional dependencies that is equivalent to F.
122,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
122,69,Minimal Cover,A minimal cover of a set of FDs F is a minimal set of functional dependencies that is equivalent to F.
171,33,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
171,77,Projection,"choose certain attributes (i.e., columns)."
172,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
123,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
123,17,Relation,A relation is a subset of a Cartesian product of sets.
123,27,Candidate key,A candidate key is a combination of attributes that can be uniquely used to identify a database record without referring to any other data.
124,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
124,17,Relation,A relation is a subset of a Cartesian product of sets.
124,27,Candidate key,A candidate key is a combination of attributes that can be uniquely used to identify a database record without referring to any other data.
125,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
125,17,Relation,A relation is a subset of a Cartesian product of sets.
125,27,Candidate key,A candidate key is a combination of attributes that can be uniquely used to identify a database record without referring to any other data.
126,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
126,17,Relation,A relation is a subset of a Cartesian product of sets.
126,27,Candidate key,A candidate key is a combination of attributes that can be uniquely used to identify a database record without referring to any other data.
173,10,Intersection,The intersection of two given sets is the set that contains all the elements that are common to both sets.
173,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
128,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
128,17,Relation,A relation is a subset of a Cartesian product of sets.
128,27,Candidate key,A candidate key is a combination of attributes that can be uniquely used to identify a database record without referring to any other data.
129,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
129,17,Relation,A relation is a subset of a Cartesian product of sets.
129,27,Candidate key,A candidate key is a combination of attributes that can be uniquely used to identify a database record without referring to any other data.
174,10,Intersection,The intersection of two given sets is the set that contains all the elements that are common to both sets.
174,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
175,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
175,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
176,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
176,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
177,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
178,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
179,81,Access Control,"Access control is done by creating user accounts and to control login process by the DBMS. So, that database access of sensitive data is possible only to those people (database users) who are allowed to access such data and to restrict access to unauthorized persons. "
133,74,Boyce-Codd normal form (BCNF),Boyce-Codd Normal Form (BCNF) is one of the forms of database normalization. A database table is in BCNF if and only if there are no non-trivial functional dependencies of attributes on anything other than a superset of a candidate key.
179,82,Discretionary access control (DAC),Based on the concept of access privileges for giving users such privileges. SQL support DAC; most commercial DBMSs also support DAC.
179,83,GRANT,GRANT gives privileges to users.
180,80,Database Security,Database security refers to the collective measures used to protect and secure a database or database management software from illegitimate use and malicious cyber threats and attacks.
181,82,Discretionary access control (DAC),Based on the concept of access privileges for giving users such privileges. SQL support DAC; most commercial DBMSs also support DAC.
136,74,Boyce-Codd normal form (BCNF),Boyce-Codd Normal Form (BCNF) is one of the forms of database normalization. A database table is in BCNF if and only if there are no non-trivial functional dependencies of attributes on anything other than a superset of a candidate key.
136,75,Third normal form (3NF),The third normal form — or 3NF — is part of a set of concepts for database normalization that also includes first normal form (1NF) and second normal form (2NF).
181,83,GRANT,GRANT gives privileges to users.
182,81,Access Control,"Access control is done by creating user accounts and to control login process by the DBMS. So, that database access of sensitive data is possible only to those people (database users) who are allowed to access such data and to restrict access to unauthorized persons. "
138,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
138,74,Boyce-Codd normal form (BCNF),Boyce-Codd Normal Form (BCNF) is one of the forms of database normalization. A database table is in BCNF if and only if there are no non-trivial functional dependencies of attributes on anything other than a superset of a candidate key.
138,75,Third normal form (3NF),The third normal form — or 3NF — is part of a set of concepts for database normalization that also includes first normal form (1NF) and second normal form (2NF).
139,74,Boyce-Codd normal form (BCNF),Boyce-Codd Normal Form (BCNF) is one of the forms of database normalization. A database table is in BCNF if and only if there are no non-trivial functional dependencies of attributes on anything other than a superset of a candidate key.
139,71,Normalisation,A common approach starts with a universal relation and applies decomposition to create new relations that satisfy certain normal forms (i.e. normalization).
140,75,Third normal form (3NF),The third normal form — or 3NF — is part of a set of concepts for database normalization that also includes first normal form (1NF) and second normal form (2NF).
140,71,Normalisation,A common approach starts with a universal relation and applies decomposition to create new relations that satisfy certain normal forms (i.e. normalization).
141,74,Boyce-Codd normal form (BCNF),Boyce-Codd Normal Form (BCNF) is one of the forms of database normalization. A database table is in BCNF if and only if there are no non-trivial functional dependencies of attributes on anything other than a superset of a candidate key.
141,75,Third normal form (3NF),The third normal form — or 3NF — is part of a set of concepts for database normalization that also includes first normal form (1NF) and second normal form (2NF).
141,71,Normalisation,A common approach starts with a universal relation and applies decomposition to create new relations that satisfy certain normal forms (i.e. normalization).
142,73,Dependency preservation,To ensure that each functional dependency can be inferred from functional dependencies after decomposition.
142,75,Third normal form (3NF),The third normal form — or 3NF — is part of a set of concepts for database normalization that also includes first normal form (1NF) and second normal form (2NF).
143,72,Lossless Join,To disallow the possibility of generating spurious tuples when a NATURAL JOIN operation is applied to the relations after decomposition.
143,73,Dependency preservation,To ensure that each functional dependency can be inferred from functional dependencies after decomposition.
143,75,Third normal form (3NF),The third normal form — or 3NF — is part of a set of concepts for database normalization that also includes first normal form (1NF) and second normal form (2NF).
182,84,Mandatory Access Control (MAC),Restrict access to objects based on the sensitivity of the information contained in the objects and the formal authorization of subjects to access information of such sensitivity.
184,86,REVOKE,REVOKE takes away privileges from users.
131,72,Lossless Join,To disallow the possibility of generating spurious tuples when a NATURAL JOIN operation is applied to the relations after decomposition.
131,73,Dependency preservation,To ensure that each functional dependency can be inferred from functional dependencies after decomposition.
131,71,Normalisation,A common approach starts with a universal relation and applies decomposition to create new relations that satisfy certain normal forms (i.e. normalization).
127,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
127,70,Prime Attribute,A prime attribute is an attribute occurring in a candidate key
132,72,Lossless Join,To disallow the possibility of generating spurious tuples when a NATURAL JOIN operation is applied to the relations after decomposition.
132,73,Dependency preservation,To ensure that each functional dependency can be inferred from functional dependencies after decomposition.
132,71,Normalisation,A common approach starts with a universal relation and applies decomposition to create new relations that satisfy certain normal forms (i.e. normalization).
185,87,Specifying Privileges - Views,Views provide an important mechanism for discretionary authorization.
186,82,Discretionary access control (DAC),Based on the concept of access privileges for giving users such privileges. SQL support DAC; most commercial DBMSs also support DAC.
130,72,Lossless Join,To disallow the possibility of generating spurious tuples when a NATURAL JOIN operation is applied to the relations after decomposition.
130,73,Dependency preservation,To ensure that each functional dependency can be inferred from functional dependencies after decomposition.
130,71,Normalisation,A common approach starts with a universal relation and applies decomposition to create new relations that satisfy certain normal forms (i.e. normalization).
134,74,Boyce-Codd normal form (BCNF),Boyce-Codd Normal Form (BCNF) is one of the forms of database normalization. A database table is in BCNF if and only if there are no non-trivial functional dependencies of attributes on anything other than a superset of a candidate key.
134,75,Third normal form (3NF),The third normal form — or 3NF — is part of a set of concepts for database normalization that also includes first normal form (1NF) and second normal form (2NF).
135,74,Boyce-Codd normal form (BCNF),Boyce-Codd Normal Form (BCNF) is one of the forms of database normalization. A database table is in BCNF if and only if there are no non-trivial functional dependencies of attributes on anything other than a superset of a candidate key.
135,75,Third normal form (3NF),The third normal form — or 3NF — is part of a set of concepts for database normalization that also includes first normal form (1NF) and second normal form (2NF).
137,74,Boyce-Codd normal form (BCNF),Boyce-Codd Normal Form (BCNF) is one of the forms of database normalization. A database table is in BCNF if and only if there are no non-trivial functional dependencies of attributes on anything other than a superset of a candidate key.
137,75,Third normal form (3NF),The third normal form — or 3NF — is part of a set of concepts for database normalization that also includes first normal form (1NF) and second normal form (2NF).
119,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
119,68,Equivalent,"Two or more than two sets of functional dependencies are called equivalence if the right-hand side of one set of functional dependency can be determined using the second FD set, similarly, the right-hand side of the second FD set can be determined using the first FD set."
120,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
120,68,Equivalent,"Two or more than two sets of functional dependencies are called equivalence if the right-hand side of one set of functional dependency can be determined using the second FD set, similarly, the right-hand side of the second FD set can be determined using the first FD set."
116,64,Functional dependencies,Functional Dependency (FD) is a constraint that determines the relation of one attribute to another attribute in a Database Management System (DBMS).
116,68,Equivalent,"Two or more than two sets of functional dependencies are called equivalence if the right-hand side of one set of functional dependency can be determined using the second FD set, similarly, the right-hand side of the second FD set can be determined using the first FD set."
146,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
146,77,Projection,"choose certain attributes (i.e., columns)."
148,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
148,77,Projection,"choose certain attributes (i.e., columns)."
150,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
150,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
150,77,Projection,"choose certain attributes (i.e., columns)."
150,78,Selection,"Select operation chooses the subset of tuples from the relation that satisfies the given condition mentioned in the syntax of selection. The selection operation is also known as horizontal partitioning since it partitions the table or relation horizontally.
"
151,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
151,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
151,77,Projection,"choose certain attributes (i.e., columns)."
151,78,Selection,"Select operation chooses the subset of tuples from the relation that satisfies the given condition mentioned in the syntax of selection. The selection operation is also known as horizontal partitioning since it partitions the table or relation horizontally.
"
152,11,Difference,The difference of two sets A and B is defined as the lists of all the elements that are in set A but that are not present in set B.
152,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
152,77,Projection,"choose certain attributes (i.e., columns)."
152,78,Selection,"Select operation chooses the subset of tuples from the relation that satisfies the given condition mentioned in the syntax of selection. The selection operation is also known as horizontal partitioning since it partitions the table or relation horizontally.
"
153,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
154,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
154,77,Projection,"choose certain attributes (i.e., columns)."
154,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
155,33,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
155,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
156,33,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
156,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
157,33,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
157,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
158,33,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
158,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
158,78,Selection,"Select operation chooses the subset of tuples from the relation that satisfies the given condition mentioned in the syntax of selection. The selection operation is also known as horizontal partitioning since it partitions the table or relation horizontally.
"
159,33,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
